trilha,conteudo,objetivo,resultado
Projetos Práticos,08 - Databricks Data Modeling,Modelar dados seguindo o padrão Bronze-Silver-Gold no Databricks com Delta Lake. Data Lakehouse Delta Lake SCD Type 2 Dimensional modeling Incremental processing.,Data Warehouse completo no Databricks com modelagem dimensional e processamento incremental. Capacidade de modelar dados em ambientes cloud modernos.
Projetos Práticos,09 - Databricks AI Project,Construir agentes de IA para análise de dados usando LangChain Vector Search e LLMs. RAG (Retrieval Augmented Generation) Vector Search LLMs Text-to-SQL MLflow.,Agente de IA funcional para análise de dados. Capacidade de integrar IA em pipelines e criar soluções inteligentes de dados.
Python Avançado,Fase 1 - Fundamentos (Aulas 01-06),Construir base sólida em Python aplicado a dados. Configuração do ambiente tratamento de erros controle de fluxo tipos complexos Type Hints processamento de grandes volumes.,Capacidade de escrever scripts Python funcionais para manipulação básica de dados. Base sólida em Python aplicado a dados.
Python Avançado,Fase 2 - Funções e Estruturas (Aulas 07-10),Dominar funções modularização e estruturas de dados avançadas. Definição de funções parâmetros retornos funções lambda decoradores closures estruturas avançadas.,Código modular reutilizável e bem estruturado. Capacidade de criar funções eficientes e usar estruturas de dados avançadas.
Python Avançado,Fase 3 - Programação Orientada a Objetos (Aulas 11-16),Aprender POO e aplicar em projetos de dados. Classes atributos métodos encapsulamento herança composição polimorfismo SQLModel.,Capacidade de projetar soluções orientadas a objetos para problemas complexos de dados. Uso de POO em projetos reais.
Python Avançado,Fase 4 - APIs e Projetos Completos (Aulas 17-20),Construir aplicações completas de dados. SQLAlchemy APIs REST FastAPI Pydantic CRUD completo frontend Streamlit deploy Docker.,Aplicações completas de dados prontas para produção. Capacidade de construir APIs e aplicações full-stack de dados.
SQL Analytics,Aula 01 - Visão Geral e Preparação do Ambiente SQL,Preparar ambiente SQL e entender conceitos fundamentais. Instalação PostgreSQL configuração ambiente primeiros passos em SQL.,Ambiente SQL configurado e funcionando. Base conceitual de bancos de dados relacionais.
SQL Analytics,Aula 02 - SQL para Analytics: Primeiras Consultas,Realizar consultas SQL básicas para análise de dados. SELECT WHERE ORDER BY GROUP BY funções agregadas.,Capacidade de escrever consultas SQL básicas e extrair insights de dados.
SQL Analytics,Aula 03 - SQL para Analytics: Join and Having,Realizar joins entre tabelas e filtrar grupos agregados. INNER JOIN LEFT JOIN RIGHT JOIN FULL JOIN HAVING.,Capacidade de combinar dados de múltiplas tabelas e filtrar resultados agregados.
SQL Analytics,Aula 04 - Windows Function,Usar funções de janela para análises avançadas. ROW_NUMBER RANK DENSE_RANK LAG LEAD SUM OVER PARTITION BY.,Capacidade de realizar análises complexas com funções de janela. Análises comparativas e temporais.
SQL Analytics,Aula 05 - Projeto de Análise de Dados,Projeto prático aplicando todos os conceitos aprendidos. Análise completa de dataset real usando SQL avançado.,Projeto completo de análise de dados. Capacidade de aplicar SQL em casos reais de negócio.
SQL Analytics,Aula 06 - CTE vs Subqueries vs Views vs Temporary Tables vs Materialized Views,Entender quando usar cada estrutura para organizar queries. CTEs Subqueries Views Temporary Tables Materialized Views comparação e casos de uso.,Capacidade de escolher a melhor estrutura para organizar queries complexas. Código SQL mais limpo e eficiente.
SQL Analytics,Aula 07 - Stored Procedures,Criar procedures reutilizáveis no banco de dados. Criação execução e manutenção de stored procedures.,Capacidade de criar lógica reutilizável no banco de dados. Redução de código duplicado e melhor performance.
SQL Analytics,Aula 08 - CTE vs Subqueries vs Views (Aprofundamento),Aprofundar conhecimento em estruturas SQL avançadas. Casos de uso avançados otimização e boas práticas.,Domínio completo de estruturas SQL avançadas. Queries otimizadas e bem estruturadas.
SQL Analytics,Aula 09 - Triggers e Projeto Prático II,Implementar triggers para automação no banco de dados. Criação de triggers projeto prático completo.,Capacidade de automatizar ações no banco de dados. Projeto prático consolidando conhecimentos.
SQL Analytics,Aula 10 - Transação,Entender transações e garantir consistência de dados. ACID isolamento consistência rollback commit.,Capacidade de garantir integridade de dados em operações complexas. Entendimento de transações e isolamento.
SQL Analytics,Aula 11 - Ordem de Consulta,Entender a ordem de execução de queries SQL. FROM WHERE GROUP BY HAVING SELECT ORDER BY otimização.,Capacidade de escrever queries eficientes entendendo ordem de execução. Queries otimizadas.
SQL Analytics,Aula 12 - Database Indexing,Otimizar performance com índices. Criação de índices tipos de índices impacto na performance.,Capacidade de otimizar queries com índices. Bancos de dados com melhor performance.
SQL Analytics,Aula 13 - Database Partition,Particionar tabelas para melhor performance. Partitioning estratégias casos de uso.,Capacidade de particionar tabelas grandes. Bancos de dados escaláveis e performáticos.
Airflow,Exemplo 00 - Introdução ao Airflow,Entender conceitos básicos do Airflow. Estrutura de um DAG primeiros passos conceitos fundamentais.,Capacidade de entender arquitetura do Airflow e criar primeiro DAG básico.
Airflow,Exemplo 01 - DAG Simples,Criar primeiro DAG funcional. Criar DAG executar tarefas básicas entender execução.,DAG funcional criado e executado com sucesso. Entendimento básico de execução de workflows.
Airflow,Exemplo 02 - Dependências,Definir dependências entre tarefas. Dependências entre tarefas execução paralela operadores >> e <<.,DAGs com dependências complexas. Capacidade de orquestrar workflows com múltiplas tarefas.
Airflow,Exemplo 03 - Operadores Python,Usar PythonOperator para executar código Python. PythonOperator execução de funções Python passagem de parâmetros.,DAGs que executam código Python. Integração de lógica Python em workflows.
Airflow,Exemplo 04 - Operadores SQL,Executar queries SQL em workflows. SQLOperator execução de queries SQL conexões com bancos.,DAGs que executam queries SQL. Integração de bancos de dados em workflows.
Airflow,Exemplo 05 - Sensores,Aguardar condições antes de executar tarefas. FileSensor TimeSensor condições de execução.,DAGs que aguardam condições específicas. Workflows mais inteligentes e condicionais.
Airflow,Exemplo 06 - DAGs Complexos,Criar DAGs complexos com múltiplas dependências. Múltiplas dependências branching error handling.,DAGs complexos de produção. Capacidade de criar workflows robustos e resilientes.
Airflow,Exemplo 07 - Deploy,Fazer deploy de Airflow em produção. Deploy em cloud configuração de produção monitoramento.,Airflow rodando em produção. Capacidade de fazer deploy e manter Airflow em ambientes reais.
Engenharia de Dados e IA,01 - Data Engineering Infra Linux Docker,Configurar infraestrutura Linux e Docker para projetos de dados. Linux Docker containerização ambiente de desenvolvimento.,Ambiente de desenvolvimento profissional configurado. Base para todos os projetos seguintes.
Engenharia de Dados e IA,02 - Airflow Workflow Orchestration,Orquestrar workflows de dados com Airflow. DAGs operadores sensores XComs deploy.,Capacidade de orquestrar pipelines complexos de dados. Workflows automatizados e monitorados.
Engenharia de Dados e IA,03 - Modern Data Pipelines Airflow dbt,Integrar Airflow com dbt para pipelines modernos. Airflow + dbt Modern Data Stack transformações de dados.,Pipeline completo usando Modern Data Stack. Integração profissional de ferramentas modernas.
Engenharia de Dados e IA,04 - AI Agents for Data Engineering,Construir agentes de IA para engenharia de dados. Frameworks de IA (LangChain CrewAI) Prompt Engineering RAG Memory MCP A2A.,Agentes de IA funcionais para análise e processamento de dados. Capacidade de integrar IA em pipelines de dados.
Engenharia de Dados e IA,05 - Event-Driven Data Architecture AWS,Implementar arquitetura event-driven na AWS. AWS SQS eventos processamento assíncrono arquitetura orientada a eventos.,Pipeline event-driven funcional na AWS. Capacidade de construir arquiteturas reativas e escaláveis.
Engenharia de Dados e IA,06 - Ingestão de Dados,Ingerir dados de múltiplas fontes. Design Sprint técnicas de ingestão estratégias de coleta.,Capacidade de projetar e implementar pipelines de ingestão. Estratégias profissionais de coleta de dados.
Engenharia de Dados e IA,07 - REST API FastAPI Deploy,Construir e fazer deploy de APIs REST com FastAPI. FastAPI autenticação deploy Docker produção.,API REST completa em produção. Capacidade de criar e manter APIs de dados profissionais.
Engenharia de Dados e IA,08 - Real-Time Data Streaming Kafka,Implementar streaming de dados em tempo real com Kafka. Apache Kafka producers consumers topics partitions streaming.,Pipeline de streaming em tempo real funcional. Capacidade de processar dados em tempo real.
Engenharia de Dados e IA,09 - Streamlit Dashboard Realtime,Criar dashboards em tempo real com Streamlit. Streamlit visualização tempo real atualização automática.,Dashboard interativo em tempo real. Capacidade de criar interfaces visuais para dados.
Engenharia de Dados e IA,10 - Data Pipeline Observability,Implementar observabilidade em pipelines de dados. Logging monitoramento métricas alertas rastreabilidade.,Pipeline com observabilidade completa. Capacidade de monitorar e debugar pipelines em produção.
Engenharia de Dados e IA,11 - Infra as Code Terraform,Automatizar infraestrutura com Terraform. Terraform AWS infraestrutura como código automação.,Infraestrutura automatizada e versionada. Capacidade de gerenciar infraestrutura como código.
Engenharia de Dados e IA,12 - DevOps e Kubernetes,Orquestrar containers e implementar DevOps para dados. Kubernetes orquestração de containers CI/CD escalabilidade.,Capacidade de fazer deploy e escalar aplicações de dados no Kubernetes. DevOps completo para pipelines.
Cloud AWS,Aula 01 - Introdução à AWS e Cloud Computing,Introduzir conceitos básicos de cloud computing e publicar primeira aplicação na AWS. Criação de conta AWS controle de custos (AWS Budgets Cost Explorer) navegação no console configuração de IAM e MFA criação de bucket S3 e site estático configuração de EC2 e deploy de Streamlit.,Conta AWS configurada site estático no S3 e aplicação rodando em EC2. Primeira experiência prática com cloud computing.
Cloud AWS,Aula 02 - S3: Armazenamento de Dados na AWS,Dominar Amazon S3 para armazenamento escalável de dados. Revisão de custos com Cost Explorer e tags conceitos de storage e redundância criação detalhada de buckets S3 (configurações avançadas) recursos avançados (Intelligent-Tiering Server Access Logging Event Notifications) uso do S3 via Python (boto3) casos de uso em engenharia de dados (Data Lake ETL backup).,Capacidade de gerenciar dados no S3 programaticamente e aplicar em pipelines de dados. Entendimento completo do S3 para engenharia de dados.
Cloud AWS,Aula 03 - EC2: Computação Escalável na AWS,Dominar EC2 para executar aplicações e processar dados na cloud. Revisão do S3 e integração com EC2 conceitos fundamentais (instâncias AMIs volumes EBS Security Groups) configuração e lançamento de instâncias acesso via SSH famílias de instâncias (General Purpose Compute Optimized Memory Optimized Accelerated Computing) tipos de preço (On-Demand Savings Plans Spot Dedicadas) instalação do Airflow em EC2.,Capacidade de criar configurar e gerenciar instâncias EC2 para diferentes workloads. Instância EC2 com Airflow funcionando.
Cloud AWS,Aula 04 - IAM: Gerenciamento de Segurança,Implementar segurança e controle de acesso na AWS. Proteção da conta AWS e usuário root configuração de MFA criação de usuários administrativos (AdministratorAccess vs PowerUserAccess) criação de grupos IAM (Engenheiro de Dados Cientista de Dados Lambda Executors) acesso programático IAM Roles para EC2 com acesso ao S3 políticas personalizadas.,Conta AWS segura com usuários grupos e roles configurados corretamente. Sistema de segurança implementado seguindo boas práticas.
Cloud AWS,Aula 05 - VPC: Redes Virtuais na AWS,Criar redes isoladas e seguras na AWS. Conceitos de VPC (Virtual Private Cloud) sub-redes públicas e privadas Internet Gateway (IGW) e NAT Gateway VPC Endpoints (Gateway e Interface) configuração completa de VPC do zero tabelas de roteamento e Security Groups projeto prático: arquitetura segura com EC2 privada acessando S3 via VPC Endpoint.,Capacidade de configurar VPCs completas com sub-redes públicas/privadas e endpoints. Arquitetura de rede segura funcionando.
Cloud AWS,Aula 06 - VPC: Projeto Prático,Implementar arquitetura de rede segura para processamento de dados sensíveis. Desafio de negócio: proteção de dados sensíveis em ambientes regulatórios arquitetura completa (VPC sub-redes públicas/privadas Bastion Host VPC Endpoint para S3) estimativa de custos tutorial passo a passo configuração de acesso SSH via Bastion Host teste de acesso ao S3 via VPC Endpoint.,Arquitetura completa funcionando com segurança e conformidade. Solução pronta para ambientes regulatórios.
Cloud AWS,Aula 07 - RDS: Bancos de Dados Gerenciados,Configurar e gerenciar bancos de dados relacionais na AWS. Conceitos do Amazon RDS funcionalidades (Multi-AZ Read Replicas Backup automático) configuração passo a passo de instância RDS segurança (Encryption Security Groups IAM Authentication) criação de VPC do zero para RDS projeto: instalação do WordPress em EC2 usando RDS gerenciamento de backups e restauração.,Banco de dados RDS funcional e integrado com aplicações. Aplicação WordPress funcionando com RDS.
Cloud AWS,Aula 08 - Integração EC2 e RDS,Integrar aplicações em EC2 com bancos de dados RDS. Projeto completo: API em Docker rodando em EC2 conectada ao RDS configuração de instância EC2 com Docker deploy de aplicação containerizada configuração de Security Groups para EC2 e RDS integração segura entre aplicação e banco de dados vantagens da arquitetura EC2 + RDS para engenharia de dados.,Aplicação completa funcionando com backend frontend e banco de dados. Arquitetura EC2 + RDS em produção.
Cloud AWS,Aula 09 - AWS Lambda e Eventos,Entender e usar AWS Lambda para automação serverless. Introdução ao AWS Lambda e arquitetura serverless diferenças entre Lambda e EC2 casos de uso (processamento de arquivos ETL em tempo real APIs serverless) eventos na AWS (S3 DynamoDB Streams API Gateway CloudWatch SQS) configuração de função Lambda exemplo prático: primeiro Lambda de teste.,Funções Lambda criadas e acionadas por eventos. Primeira automação serverless funcionando.
Cloud AWS,Aula 10 - Gestão de Custos na AWS,Controlar e otimizar custos na AWS. Política de tags focada em governança de custos (5 tags obrigatórias) organização de recursos com tags criação de grupos de recursos baseados em tags AWS Cost Explorer com tags configuração de AWS Budgets com base em tags AWS Cost Anomaly Detection checklist para evitar surpresas no final do mês.,Sistema completo de gestão de custos implementado. Controle financeiro total sobre recursos AWS.
Cloud AWS,Aula 11 - Projetos Práticos com AWS Lambda,Implementar automações com Lambda e eventos temporais. Timer de 10 em 10 minutos com CloudWatch Events/EventBridge funções Lambda para horários específicos (9h 12h 18h) Amazon EventBridge (CloudWatch Scheduler) - conceitos e configuração Lambda para realizar requests HTTP (urllib3 e requests) integração com APIs externas (exemplo: cotação Bitcoin) configuração de cron jobs com EventBridge.,Lambdas funcionando com agendamentos e integrações HTTP. Automações temporais e integrações externas implementadas.
Cloud AWS,Aula 12 - AWS CLI,Gerenciar AWS via linha de comando. Introdução ao AWS CLI e AWS CloudShell instalação do AWS CLI no Windows configuração de perfis múltiplos (desenvolvimento produção) comandos básicos do AWS CLI comandos do S3 (mb rb cp mv ls rm sync website presign) comandos do RDS (create-db-instance describe-db-instances delete-db-instance) automação de tarefas com scripts Bash.,Automação de tarefas AWS via CLI e scripts. Scripts funcionando para gerenciar recursos AWS.
Cloud AWS,Aula 13 - Amazon SQS,Implementar filas de mensagens para desacoplamento de sistemas. Introdução ao Amazon SQS (Simple Queue Service) tipos de filas (Standard vs FIFO) criação de filas SQS (console e CLI) configurações detalhadas (Visibility Timeout Message Retention Delivery Delay) envio e recebimento de mensagens via CLI integração com código Python (boto3) controle de concorrência e Dead Letter Queues boas práticas para engenharia de dados.,Sistema de filas funcionando para processamento assíncrono. Pipeline desacoplado com SQS implementado.
Cloud AWS,Aula 14 - Amazon SNS,Implementar sistema de notificações Pub/Sub. Introdução ao Amazon SNS (Simple Notification Service) diferenças entre SNS e SQS modelo Pub/Sub (Publicação/Assinatura) criação de tópicos SNS assinantes (Lambda SQS Email SMS HTTP/S) projeto: integração SNS com múltiplas funções Lambda (Python e JavaScript) publicação de mensagens (boto3 CLI Console) ETL com notificação SNS.,Sistema de notificações funcionando com múltiplos assinantes. Arquitetura Pub/Sub implementada.
Cloud AWS,Aula 15 - Projeto: Página de Sorteio com AWS,Construir aplicação completa serverless na AWS. Construção de página web com AWS Amplify função Lambda para gerar números aleatórios integração com API Gateway persistência de dados no DynamoDB frontend HTML completo com JavaScript sistema completo: Frontend → API Gateway → Lambda → DynamoDB.,Aplicação web completa funcionando com backend serverless. Projeto serverless completo em produção.
Cloud AWS,Aula 16-19 - Projetos Integrados AWS,Consolidar conhecimentos com projetos práticos completos. Projetos práticos integrando múltiplos serviços AWS deploy de aplicações completas integração entre serviços (EC2 RDS S3 Lambda SQS SNS etc.) configuração de ambientes de produção otimização e boas práticas arquitetura completa de aplicações de dados na AWS.,Aplicações completas em produção na AWS. Capacidade de integrar múltiplos serviços em soluções completas e fazer deploy em produção.

